POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Fe3O4 nanoparticle,Levofloxacin,6.5,20,6.848,"(Al-Jabari et al. 2019)"
NiFe2O4/biochar composites,Levofloxacin,6,40,172,"(Xu et al. 2021)"
Biochar/MgFe2O4,Levofloxacin,5,100,115,"(Yao et al. 2021)"
Magnetic NPs coated with Rhamnolipids (Rh-cMNP),Acetaminophen,5,60,96,"(Natarajan et al. 2022a)"
Magnetic mesoporous silica microspheres,Acetaminophen,5,150,311,"(Natarajan et al. 2022c)"
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Norfloxacin,8.12,15,1.64,"(Ma et al. 2021)"
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Ofloxacin,8.87,15,1.26,"(Ma et al. 2021)"
MgFe2O4,Chlorpyrifos,10,20,4461,"(Sharma and Kakkar 2018)"
MgO,Linezolid antibiotic,10,100,123.45,"(Fakhri and Behrouz 2015)"
ZnO-MgO nanocomposites,Linezolid antibiotic,10,100,140.28,"(Fakhri and Behrouz 2015)"
Fe3O4@C Matrix,Acetylsalicylic acid,3,100,234,"(Moacă et al. 2019)"
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8,100,150,"(Liyanage et al. 2020)"
(α-Fe2O3),Cephalexin,7.5,150,70,"(Nassar et al. 2018)"
Magnetic Fe3O4 NPs coated zeolite,Cephalexin,7,40,25,"(Mohseni-Bandpi et al. 2016)"
MnO2@carbonmicrospheres,Amoxicillin,7,40,16.094,"(Ren et al. 2020)"
Magnetic cadmiumbased MOFs modified with chitosan 
(Fe3O4@Cd-MOF@CS),Amoxicillin,8,50,103,"(Pooresmaeil and Namazi 2021)"
Mn-Zn ferrite/biochar (MZF-BC),Tetracycline,3,50,142,"(Hu et al. 2022)"
NiFe2O4-COF-chitosanterphthalaldehyde nanocomposites film,Tetracycline,8,100,388.52,"(Li et al. 2020)"
NiFe2O4-COF-chitosanterphthalaldehyde nanocomposites film,Cefotaxime,4,100,309.26,"(Li et al. 2020)"
Fe3O4/CD/AC/SA,Norfloxacin,5,20,2.551,"(Yadav et al. 2021)"
Fe3O4/CD/AC/SA,Ciprofloxacin,5,20,3.125,"(Yadav et al. 2021)"
Fe3O4/red mud,Ciprofloxacin,6,3,110.15,"(Aydin et al. 2019)"
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7,12,59,"(Chandrashekar Kollarahithlu and Balakrishnan 2021)"
Rape straw biomass fiber/β-Cyclodextrin/Fe3O4,Ibuprofen,6,100,48,"(Wu et al. 2021)"
Plantain peel activated carbon-supported zinc oxide (PPAC-ZnO) nanocomposite,Chloroquine for COVID-19 treatment,5,50,50.5,"(Dada et al. 2023)"
