POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Polyacrylonitrile/Polyaniline (PAN/PANI),Ibuprofen,7,50,613.50,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyacrylonitrile/Polyaniline (PAN/PANI),N,N-diethyl-meta-toluamide,7,50,384.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Enrofloxacin,6,100,78.27,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Ciprofloxacin,6,100,76.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Norfloxacin,6,100,68.90,https://link.springer.com/article/10.1007/s41742-025-00825-4
PPy-PANI copolymer,Metronidazole,6.2,10,63.84,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Phenylbutazone,6,0.1,238.8,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Ceftiofur,6,0.1,13.66,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Prednisolone,6,0.1,35.62,https://link.springer.com/article/10.1007/s41742-025-00825-4
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2,0.1,221.2,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline-deposited cellulose fiber composite,Meloxicam,2,2,169.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Anti-inflammatory,6,0.1,159.9,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Phenylbutazone,6,0.1,172.7,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine polypyrrole,Diclofenac,6,1.5,221.23,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine polypyrrole,Moxidectin,6,1.5,87.46,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole/Zinc oxide (PPy/ZnO),Paracetamol,7,5,25.51,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-16 polymer,Cephalexin,3,25,116,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-4 polymer,Cephalexin,3,25,357,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(styrene-block-acrylic acid) deblock copolymer/Fe3O4 magnetic,Ciprofloxacin,7,5,15.52,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline/Graphene Oxide Based Nanocomposites,Ciprofloxacin,6,100,106.38,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline-coated magnetic nanoparticles,Diclofenac,4,25,34.43,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10,40,15.6,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7,40,39.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4,40,24.8,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Amoxicillin,7,40,23.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Ciprofloxacin,7,40,23.7,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Sulfamethoxazole,7,40,25.17,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(acrylic acid) grafted chitosan/Graphite oxide,Dorzolamide,3,100,334,https://link.springer.com/article/10.1007/s41742-025-00825-4
