sa_score_H,sa_score_C,sa_score_O,WATER_PH,poly_logp_H,poly_logd_at_WATER_PH_H,poly_homo_eV_H,poly_lumo_eV_H,poly_charge_at_WATER_PH_H,poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_rotatable_bonds_sum_fullpolymerfeaturizer,poly_num_rings_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_atoms_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_fraction_bicyclic_rings_sum_fullpolymerfeaturizer,poly_num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,poly_slogp_vsa1_sum_fullpolymerfeaturizer,poly_balaban_j_index_sum_fullpolymerfeaturizer,poly_molecular_weight_sum_fullpolymerfeaturizer,poly_sp3_carbon_count_sum_fullpolymerfeaturizer,poly_sp2_carbon_count_sum_fullpolymerfeaturizer,poly_max_estate_index_sum_fullpolymerfeaturizer,poly_smr_vsa5_sum_fullpolymerfeaturizer,poly_fp_density_morgan1_sum_fullpolymerfeaturizer,poly_total_halogens_sum_fullpolymerfeaturizer,poly_fluorine_count_sum_fullpolymerfeaturizer,poly_chlorine_count_sum_fullpolymerfeaturizer,poly_bromine_count_sum_fullpolymerfeaturizer,poly_iodine_count_sum_fullpolymerfeaturizer,poly_single_bonds_sum_fullpolymerfeaturizer,poly_double_bonds_sum_fullpolymerfeaturizer,poly_triple_bonds_sum_fullpolymerfeaturizer,poly_bridging_rings_count_sum_fullpolymerfeaturizer,poly_max_ring_size_sum_fullpolymerfeaturizer,poly_heteroatom_count_sum_fullpolymerfeaturizer,poly_heteroatom_density_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_rotatable_bonds_sidechainfeaturizer_sum,poly_num_rings_sidechainfeaturizer_sum,poly_num_non_aromatic_rings_sidechainfeaturizer_sum,poly_num_aromatic_rings_sidechainfeaturizer_sum,poly_num_atoms_sidechainfeaturizer_sum,poly_topological_surface_area_sidechainfeaturizer_sum,poly_fraction_bicyclic_rings_sidechainfeaturizer_sum,poly_num_aliphatic_heterocycles_sidechainfeaturizer_sum,poly_slogp_vsa1_sidechainfeaturizer_sum,poly_balaban_j_index_sidechainfeaturizer_sum,poly_molecular_weight_sidechainfeaturizer_sum,poly_sp3_carbon_count_sidechainfeaturizer_sum,poly_sp2_carbon_count_sidechainfeaturizer_sum,poly_max_estate_index_sidechainfeaturizer_sum,poly_smr_vsa5_sidechainfeaturizer_sum,poly_fp_density_morgan1_sidechainfeaturizer_sum,poly_total_halogens_sidechainfeaturizer_sum,poly_fluorine_count_sidechainfeaturizer_sum,poly_chlorine_count_sidechainfeaturizer_sum,poly_bromine_count_sidechainfeaturizer_sum,poly_iodine_count_sidechainfeaturizer_sum,poly_single_bonds_sidechainfeaturizer_sum,poly_double_bonds_sidechainfeaturizer_sum,poly_triple_bonds_sidechainfeaturizer_sum,poly_bridging_rings_count_sidechainfeaturizer_sum,poly_max_ring_size_sidechainfeaturizer_sum,poly_heteroatom_count_sidechainfeaturizer_sum,poly_heteroatom_density_sidechainfeaturizer_sum,poly_num_hbond_donors_sum_backbonefeaturizer,poly_num_hbond_acceptors_sum_backbonefeaturizer,poly_num_rotatable_bonds_sum_backbonefeaturizer,poly_num_rings_sum_backbonefeaturizer,poly_num_non_aromatic_rings_sum_backbonefeaturizer,poly_num_aromatic_rings_sum_backbonefeaturizer,poly_num_atoms_sum_backbonefeaturizer,poly_topological_surface_area_sum_backbonefeaturizer,poly_fraction_bicyclic_rings_sum_backbonefeaturizer,poly_num_aliphatic_heterocycles_sum_backbonefeaturizer,poly_slogp_vsa1_sum_backbonefeaturizer,poly_balaban_j_index_sum_backbonefeaturizer,poly_molecular_weight_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_max_estate_index_sum_backbonefeaturizer,poly_smr_vsa5_sum_backbonefeaturizer,poly_fp_density_morgan1_sum_backbonefeaturizer,poly_total_halogens_sum_backbonefeaturizer,poly_fluorine_count_sum_backbonefeaturizer,poly_chlorine_count_sum_backbonefeaturizer,poly_bromine_count_sum_backbonefeaturizer,poly_iodine_count_sum_backbonefeaturizer,poly_single_bonds_sum_backbonefeaturizer,poly_double_bonds_sum_backbonefeaturizer,poly_triple_bonds_sum_backbonefeaturizer,poly_bridging_rings_count_sum_backbonefeaturizer,poly_max_ring_size_sum_backbonefeaturizer,poly_heteroatom_count_sum_backbonefeaturizer,poly_heteroatom_density_sum_backbonefeaturizer,drug_logp,drug_logd_at_WATER_PH,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_rotatable_bonds_sum_fullmolecularfeaturizer,drug_num_rings_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_atoms_sum_fullmolecularfeaturizer,drug_topological_surface_area_sum_fullmolecularfeaturizer,drug_fraction_bicyclic_rings_sum_fullmolecularfeaturizer,drug_num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,drug_slogp_vsa1_sum_fullmolecularfeaturizer,drug_balaban_j_index_sum_fullmolecularfeaturizer,drug_molecular_weight_sum_fullmolecularfeaturizer,drug_sp3_carbon_count_sum_fullmolecularfeaturizer,drug_sp2_carbon_count_sum_fullmolecularfeaturizer,drug_max_estate_index_sum_fullmolecularfeaturizer,drug_smr_vsa5_sum_fullmolecularfeaturizer,drug_fp_density_morgan1_sum_fullmolecularfeaturizer,drug_total_halogens_sum_fullmolecularfeaturizer,drug_fluorine_count_sum_fullmolecularfeaturizer,drug_chlorine_count_sum_fullmolecularfeaturizer,drug_bromine_count_sum_fullmolecularfeaturizer,drug_iodine_count_sum_fullmolecularfeaturizer,drug_single_bonds_sum_fullmolecularfeaturizer,drug_double_bonds_sum_fullmolecularfeaturizer,drug_triple_bonds_sum_fullmolecularfeaturizer,drug_bridging_rings_count_sum_fullmolecularfeaturizer,drug_max_ring_size_sum_fullmolecularfeaturizer,drug_heteroatom_count_sum_fullmolecularfeaturizer,drug_heteroatom_density_sum_fullmolecularfeaturizer,POLYMER_USED,DRUG
2.4671710767033,2.517937848808069,2.5873637229339437,8.2,6.614600000000006,9.276300000000003,-9.995983440716673,-6.442235509724883,-3.0,5.0,4.0,24.0,2.0,0.0,2.0,46.0,128.43,0.0,0.0,27.00082189318751,1.4976510306802182,605.3941051119999,19.0,25.0,12.270228876822262,109.65688316650682,0.5227272727272727,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,6.0,11.0,0.2391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,24.0,2.0,0.0,2.0,46.0,128.42999999999998,0.0,0.0,27.00082189318751,1.4976510306802182,605.394105112,19.0,25.0,12.270228876822262,109.65688316650682,0.5227272727272727,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,6.0,11.0,0.2391304347826087,-1.243829999999999,-3.7802999999999987,-9.530334338249151,-6.09775544341932,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CC(=O)NCCCCCCCCCCCNC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCC(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N
2.3404814274250647,2.3809834956300424,2.50044709788145,8.2,3.8336000000000015,6.4953000000000065,-9.702939732077832,-6.5367745463947164,-3.0,3.0,4.0,19.0,0.0,0.0,0.0,29.0,87.30000000000001,0.0,0.0,16.585250271382954,3.3548505186471775,399.25556304400004,18.0,9.0,11.751893645206374,96.81523992065479,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,9.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,19.0,0.0,0.0,0.0,29.0,87.29999999999998,0.0,0.0,16.585250271382954,3.3548505186471775,399.2555630439999,18.0,9.0,11.751893645206374,96.81523992065479,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,9.0,0.3103448275862069,-1.243829999999999,-3.7802999999999987,-9.417953042492483,-5.999927732909126,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCCCCCC(=O)NNC(=O)CCCSCCCCCC(=O)N*,CN(C)C(=N)N=C(N)N
2.4710543369605205,2.337496689120538,2.5352734973868998,8.2,5.208400000000004,6.144600000000006,-10.0790214962958,-7.466934517744237,-3.0,5.0,6.0,19.0,3.0,0.0,3.0,47.0,154.73,0.0,0.0,31.690470414872358,1.266211001032003,613.290033968,11.0,34.0,12.689424338866772,57.787394606334104,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,6.0,13.0,0.2765957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,19.0,3.0,0.0,3.0,47.0,154.72999999999996,0.0,0.0,31.690470414872358,1.2662110010320036,613.290033968,11.0,34.0,12.689424338866772,57.787394606334104,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,6.0,13.0,0.2765957446808511,-1.243829999999999,-3.7802999999999987,-9.511364948151993,-6.132749967568058,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*C(=O)NCCCCNC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCC(=O)Nc3ccc(O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N
2.5524149727111727,2.597615019662813,2.7577457888935797,8.2,10.573399999999996,9.238700000000001,-10.611228973440053,-7.729990248818993,-1.0,0.0,6.0,27.0,2.0,0.0,2.0,47.0,78.90000000000002,0.0,0.0,0.0,1.3934630879704073,618.392039448,22.0,23.0,12.1575644264042,135.52622999979778,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,6.0,8.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,2.0,0.0,2.0,47.0,78.9,0.0,0.0,0.0,1.3934630879704073,618.3920394480001,22.0,23.0,12.1575644264042,135.52622999979778,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,6.0,8.0,0.1702127659574468,-1.243829999999999,-3.7802999999999987,-9.440294763780651,-5.9710174337208395,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)OCc1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N
2.98858119565646,3.0141833182460696,3.1074787028614548,8.2,4.456300000000002,6.024500000000005,-8.333126614329231,-7.26674900453195,-2.0,3.0,5.0,20.0,1.0,1.0,0.0,37.0,113.60000000000001,0.0,1.0,16.367244685174846,2.2429494213946914,487.30462141199996,17.0,18.0,12.500723435298388,103.2360615435808,0.8,0.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,0.0,8.0,10.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,20.0,1.0,1.0,0.0,37.0,113.6,0.0,1.0,16.367244685174846,2.2429494213946914,487.3046214119999,17.0,18.0,12.500723435298388,103.2360615435808,0.8,0.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,0.0,8.0,10.0,0.2702702702702703,-1.243829999999999,-3.7802999999999987,-9.02628213066258,-5.416403412498977,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCCCCCCCCCNC(=O)c1ccc(NC(=O)CCCCC(=O)N*)cC(=O)Oc1,CN(C)C(=N)N=C(N)N
3.3902906928959364,3.417714147466537,3.613266504786635,8.2,4.717500000000004,3.3828000000000022,-8.438864060213687,-7.439444376040796,-1.0,0.0,7.0,13.0,2.0,0.0,2.0,33.0,83.42,0.0,0.0,0.0,1.8299687315382633,425.18383758399995,11.0,20.0,12.279776609379887,32.79308403298157,1.096774193548387,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,6.0,9.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0,5.0,20.23,0.0,0.0,0.0,2.6329931618554525,76.088815004,5.0,0.0,9.125,20.268296022307258,2.833333333333333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,6.0,10.0,2.0,0.0,2.0,28.0,74.19,0.0,0.0,0.0,1.834904570424398,353.126322708,6.0,20.0,11.976722471057892,19.765380445542643,1.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,6.0,8.0,0.2857142857142857,-1.243829999999999,-3.7802999999999987,-9.41793643858967,-5.999872530261691,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CN(C)C(=N)N=C(N)N
2.7476300989512037,2.8101350618634093,2.9518092822376296,8.2,2.7022000000000004,3.795700000000002,-10.406851299455546,-5.852188649800637,-1.0,2.0,4.0,17.0,0.0,0.0,0.0,27.0,92.34,0.0,0.0,11.050456081168516,3.6333718193567197,374.22392856799996,17.0,8.0,12.049260934477108,90.51835308071534,0.92,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,9.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,17.0,0.0,0.0,0.0,27.0,92.34,0.0,0.0,11.050456081168516,3.6333718193567197,374.2239285679999,17.0,8.0,12.049260934477106,90.51835308071534,0.92,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,9.0,0.3333333333333333,-1.243829999999999,-3.7802999999999987,-9.359319205059201,-5.850386254271728,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCC(C)NC(=O)CCCCS(=O)(=O)CCCCCCCCC(=O)N*,CN(C)C(=N)N=C(N)N
3.52437496384497,3.572961964790765,3.689447679076478,8.2,16.333279999999963,14.998579999999967,-10.531233159092547,-7.64338115287282,-1.0,0.0,5.0,40.0,2.0,0.0,2.0,60.0,76.39000000000001,0.0,0.0,0.0,1.5773144977505218,795.616560072,36.0,20.0,13.045026838570354,224.72875680241043,0.5344827586206896,0.0,0.0,0.0,0.0,0.0,45.0,3.0,1.0,0.0,6.0,7.0,0.11666666666666667,0.0,1.0,2.0,2.0,0.0,2.0,16.0,23.79,0.0,0.0,0.0,2.154291254669887,205.089149352,0.0,14.0,8.668375927557024,0.0,0.75,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0,1.0,0.0625,0.0,4.0,37.0,0.0,0.0,0.0,44.0,52.6,0.0,0.0,0.0,3.1348056681641756,592.543060784,36.0,6.0,11.920545388326907,225.23167237917505,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,6.0,0.13636363636363635,-1.243829999999999,-3.7802999999999987,-9.233460716988517,-5.420577788942514,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCCCCCCCOC(=O)CC(CCCCCCCCCCCCCCCCCCCCCCCC(=O)O*)c1ccc(/C=C/c2ccc(C#N)cc2)cc1,CN(C)C(=N)N=C(N)N
2.158168588822436,2.2138749019501667,2.3369811956564597,8.2,3.0603000000000007,5.221800000000004,-10.420078608970188,-6.977996700454136,-3.0,5.0,4.0,18.0,1.0,0.0,1.0,35.0,128.43,0.0,0.0,27.00082189318751,1.9590732145110334,459.28455466400004,14.0,19.0,11.95380754949343,71.13195342895074,0.696969696969697,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,6.0,11.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,18.0,1.0,0.0,1.0,35.0,128.42999999999998,0.0,0.0,27.00082189318751,1.9590732145110334,459.2845546639999,14.0,19.0,11.95380754949343,71.13195342895074,0.696969696969697,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,6.0,11.0,0.3142857142857143,-1.243829999999999,-3.7802999999999987,-9.440299585702567,-5.971024300367873,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCNC(=O)CCCC(=O)NCCCCCCNC(=O)Nc1ccc(C(=O)N*)cc1,CN(C)C(=N)N=C(N)N
3.2084308789112264,3.20895089842349,3.3568893599619516,8.2,2.4467,3.2308000000000003,-7.55216383380408,-5.499072477720411,-1.0,4.0,4.0,17.0,0.0,0.0,0.0,29.0,99.33000000000001,0.0,0.0,21.68403328918118,3.3765852303623873,404.225740136,17.0,10.0,13.665031307259438,71.00674198452158,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,11.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,17.0,0.0,0.0,0.0,29.0,99.32999999999998,0.0,0.0,21.68403328918118,3.3765852303623873,404.22574013599996,17.0,10.0,13.665031307259438,71.00674198452158,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,11.0,0.3793103448275862,-1.243829999999999,-3.7802999999999987,-9.359318802972222,-5.850393415247428,2,3.0,1.0,0.0,0.0,0.0,0.0,9.0,91.49,0.0,0.0,11.46733495432437,3.927830970185914,129.10144535199998,2.0,7.0,7.0522222222222215,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,0.5555555555555556,*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)C(=O)N*,CN(C)C(=N)N=C(N)N
