,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
drug_fingerprint_bit_24,-0.0007233060716819934,0.004917840167876578,-0.009299257614884173,0.007023179397181615,0.00025452719114824876,0.057138603527811034,0.02950505396364436,-0.003502660993151664,-0.00010707315872227688,-0.0013507692696636594,0.00012643336533967788,-0.011258975225345094,0.0063206964805189786,0.007957814811146106,-0.001212872528038408
drug_fingerprint_bit_25,9.086934229698244e-05,-0.001335960357218971,-0.002878215097841795,-0.029294287827630307,-2.855163934722298e-05,0.0018383450731756922,-0.0434141484741268,-0.006695894139110073,0.0011481290607225356,-0.0003341957083149039,2.4746220836629582e-05,0.00025006835871689114,-0.0026966606270992476,-0.0040155119547663305,0.00670547692468602
drug_fingerprint_bit_27,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_36,-0.00027823006222567706,0.003031864890844933,0.013517402693441276,0.005901222585631972,-0.014819556721468948,-0.004810624906369711,-0.06692050225930561,-0.0028780349862187193,0.0011167051778650681,-7.333456620621025e-05,3.5498118317141625e-05,0.0028192405717787188,-0.0027420643949834017,0.007784460924140231,-0.0013105340579135129
drug_fingerprint_bit_37,-0.0007233060716819934,0.004917840167876578,-0.009299257614884173,0.007023179397181615,0.00025452719114824876,0.057138603527811034,0.02950505396364436,-0.003502660993151664,-0.00010707315872227688,-0.0013507692696636594,0.00012643336533967788,-0.011258975225345094,0.0063206964805189786,0.007957814811146106,-0.001212872528038408
drug_fingerprint_bit_38,-0.0007233060716819934,0.004917840167876578,-0.009299257614884173,0.007023179397181615,0.00025452719114824876,0.057138603527811034,0.02950505396364436,-0.003502660993151664,-0.00010707315872227688,-0.0013507692696636594,0.00012643336533967788,-0.011258975225345094,0.0063206964805189786,0.007957814811146106,-0.001212872528038408
drug_fingerprint_bit_39,-9.086934229698244e-05,0.001335960357218971,0.002878215097841795,0.029294287827630307,2.855163934722298e-05,-0.0018383450731756922,0.0434141484741268,0.006695894139110073,-0.0011481290607225356,0.0003341957083149039,-2.4746220836629582e-05,-0.00025006835871689114,0.0026966606270992476,0.0040155119547663305,-0.00670547692468602
drug_fingerprint_bit_45,-0.0009484416998683287,0.004274089412127458,0.012162767890345691,0.0059962538365919745,-0.009076787868369034,-0.042464513255339904,-0.05726193804995267,0.0015904149170201452,0.000622273111722939,0.0010029580541890328,-7.251418340714142e-05,0.00025142049201038174,-0.0030819782328363535,-0.007682343623643834,0.00167484050124476
drug_fingerprint_bit_46,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_48,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_49,-0.0016717477715503224,0.009191929580004036,0.0028635102754615152,0.01301943323377359,-0.008822260677220799,0.01467409027247112,-0.027756884086308293,-0.0019122460761315514,0.0005151999530007788,-0.0003478112154750738,5.391918193239111e-05,-0.007299562008488051,-0.007952912156195837,-0.009879444467132145,0.01682339974026515
drug_fingerprint_bit_50,-0.0010015361339076718,0.00794970505872151,0.004218145078557094,0.012924401982813593,-0.014565029530320702,0.0523279786214413,-0.037415448295661256,-0.006380695979370352,0.0010096320191425308,-0.0014241038358702239,0.00016193148365563096,-0.001751885730208416,0.0042965383005867394,0.021480081099198356,0.008303229183920121
drug_fingerprint_bit_52,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_54,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_55,0.0006868823482512712,0.0008001009554916931,0.01962444400886683,0.005562416860759203,-0.0008449709283496063,9.881792551051601e-06,0.055273665329976296,0.0051153791674730855,-0.0011308398850464127,-0.00037607996280851155,2.149477274678061e-05,0.0025007591727278507,-0.0037583895140258406,0.01401253547604062,-0.002936645930593633
drug_fingerprint_bit_58,9.086934229698244e-05,-0.001335960357218971,-0.002878215097841795,-0.029294287827630307,-2.855163934722298e-05,0.0018383450731756922,-0.0434141484741268,-0.006695894139110073,0.0011481290607225356,-0.0003341957083149039,2.4746220836629582e-05,0.00025006835871689114,-0.0026966606270992476,-0.0040155119547663305,0.00670547692468602
drug_fingerprint_bit_60,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_61,0.00024180633879495488,0.002686076232523339,-0.003192216299458618,0.006684373672308839,0.014229112984267569,0.061959110226731756,0.1516992215529262,0.004490753160540183,-0.0023546182216329214,-0.001653514666265522,0.00011243001976834226,-0.0016763176966575486,0.022302538034774666,0.00408509477740422,-0.005335392434865424
drug_fingerprint_bit_64,0.000706635361073373,-0.0069601656446507945,-0.00897055159088707,-0.012680627508900809,-0.005152325115898547,-0.019494596971391866,-0.09443728350297356,-0.0060811680775602625,0.0017323451099108514,0.0006505566120764941,-3.9915836362066104e-05,-0.004262727130563334,-0.00964794081779017,0.00028300191481186136,-0.005145696721733128
drug_fingerprint_bit_66,-0.0009484416998683287,0.004274089412127458,0.012162767890345691,0.0059962538365919745,-0.009076787868369034,-0.042464513255339904,-0.05726193804995267,0.0015904149170201452,0.000622273111722939,0.0010029580541890328,-7.251418340714142e-05,0.00025142049201038174,-0.0030819782328363535,-0.007682343623643834,0.00167484050124476
drug_fingerprint_bit_69,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_71,-0.0006324367293850116,0.0035818798106576058,-0.012177472712725968,-0.022271108430448674,0.00022597555180101905,0.05897694860098673,-0.013909094510482462,-0.010198555132261738,0.001041055902000084,-0.0016849649779784796,0.0001511795861784372,0.006222628853243,0.008333329426510978,0.025053170837213423,0.013514103506048791
drug_fingerprint_bit_73,-0.0013935177093246443,0.006160064689159102,-0.01065389241797976,0.00711821064814162,0.005997296044248162,0.01948471517884082,0.03916361817299733,0.0009657889100871758,-0.000601505224864405,-0.000274476649268914,1.8421063614729832e-05,0.0010469937741169422,0.0036275068390709876,-0.004709901210145516,0.009131351706574656
drug_fingerprint_bit_74,-0.0007233060716819934,0.004917840167876578,-0.009299257614884173,0.007023179397181615,0.00025452719114824876,0.057138603527811034,0.02950505396364436,-0.003502660993151664,-0.00010707315872227688,-0.0013507692696636594,0.00012643336533967788,-0.011258975225345094,0.0063206964805189786,0.007957814811146106,-0.001212872528038408
drug_fingerprint_bit_75,9.086934229698244e-05,-0.001335960357218971,-0.002878215097841795,-0.029294287827630307,-2.855163934722298e-05,0.0018383450731756922,-0.0434141484741268,-0.006695894139110073,0.0011481290607225356,-0.0003341957083149039,2.4746220836629582e-05,0.00025006835871689114,-0.0026966606270992476,-0.0040155119547663305,0.00670547692468602
drug_fingerprint_bit_77,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
