,PC2
drug_molecular_weight_sum_fullmolecularfeaturizer,0.9584785896292697
CONCENTRATION,0.19779589199315606
drug_smr_vsa5_sum_fullmolecularfeaturizer,0.13683558844711033
drug_single_bonds_sum_fullmolecularfeaturizer,0.07266274595500324
drug_sp3_carbon_count_sum_fullmolecularfeaturizer,0.06428507284857629
drug_num_atoms_sum_fullmolecularfeaturizer,0.06074726036685852
drug_topological_surface_area_sum_fullmolecularfeaturizer,0.058945541827219054
drug_slogp_vsa1_sum_fullmolecularfeaturizer,0.042909623996456925
CAPACITY,0.03944763881224961
drug_homo_eV,0.01781973064563396
drug_num_rotatable_bonds_sum_fullmolecularfeaturizer,0.016546392229551586
drug_charge_at_WATER_PH,0.011531584869379115
drug_logd_at_WATER_PH,0.011228768944082984
drug_heteroatom_count_sum_fullmolecularfeaturizer,0.010719927467334823
drug_num_rings_sum_fullmolecularfeaturizer,0.010244083357880877
