POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,66.66667,5.65833
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,83.33333,6.54867
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,100.0,7.439
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,133.33333,11.57267
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,166.66667,15.70633
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,200.0,19.84
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,10.0,0.07254
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,15.0,0.09326
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,20.0,0.11398
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,25.0,0.1347
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,33.33333,0.18653
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,41.66667,0.23837
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,50.0,0.2902
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,66.66667,0.49053
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,83.33333,0.69087
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,100.0,0.8912
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,133.33333,1.3298
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,166.66667,1.7684
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,200.0,2.207
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,10.0,3.243
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,15.0,3.94233
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,20.0,4.64167
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,25.0,5.341
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,33.33333,5.786
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,41.66667,6.231
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,50.0,6.676
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,66.66667,14.304
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,83.33333,21.932
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,100.0,29.56
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,133.33333,38.52667
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,166.66667,47.49333
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,200.0,56.46
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8.2,10.0,0.1347
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,15.0,0.1416
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,20.0,0.1485
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8.2,25.0,0.1554
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,33.33333,0.15887
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,41.66667,0.16233
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8.2,50.0,0.1658
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,66.66667,0.2418
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,83.33333,0.3178
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8.2,100.0,0.3938
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,133.33333,0.53543
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,,166.66667,0.67707
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8.2,200.0,0.8187
*C=C*,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,7.8,0.5,0.0691
*C=C*,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7.8,0.5,0.0837
*C=C*,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,7.8,0.5,0.362
*C=C*,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,7.8,0.5,0.0809
*C=C*,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,7.8,0.5,0.186
