POLYMER_USED,DRUG,CONCENTRATION,CAPACITY
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,41.66667,11.76267
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,50.0,12.78
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,66.66667,16.97667
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,83.33333,21.17333
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,100.0,25.37
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,133.33333,27.65667
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,166.66667,29.94333
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,200.0,32.23
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,10.0,1.144
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,15.0,1.39833
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,20.0,1.65267
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,25.0,1.907
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,33.33333,2.86067
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,41.66667,3.81433
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,50.0,4.768
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,66.66667,5.65833
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,83.33333,6.54867
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,100.0,7.439
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,133.33333,11.57267
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,166.66667,15.70633
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,200.0,19.84
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,10.0,0.07254
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,15.0,0.09326
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,20.0,0.11398
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,25.0,0.1347
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,33.33333,0.18653
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,41.66667,0.23837
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,50.0,0.2902
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,66.66667,0.49053
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,83.33333,0.69087
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,100.0,0.8912
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,133.33333,1.3298
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,166.66667,1.7684
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,200.0,2.207
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,10.0,3.243
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,15.0,3.94233
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,20.0,4.64167
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,25.0,5.341
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,33.33333,5.786
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,41.66667,6.231
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,50.0,6.676
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,66.66667,14.304
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,83.33333,21.932
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,100.0,29.56
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,133.33333,38.52667
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,166.66667,47.49333
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,200.0,56.46
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,10.0,0.1347
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,15.0,0.1416
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,20.0,0.1485
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,25.0,0.1554
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,33.33333,0.15887
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,41.66667,0.16233
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,50.0,0.1658
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,66.66667,0.2418
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,83.33333,0.3178
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,100.0,0.3938
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,133.33333,0.53543
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,166.66667,0.67707
*N(C(=O)c1ccccc1)CC*,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,200.0,0.8187
