poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_logd_pH_7.0-7.4,drug_max_logd_pH_7.0-7.4,drug_homo_eV,drug_lumo_eV,CONCENTRATION,CAPACITY,SOURCE
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458040846511,-18.66542003156041,17.20061188978865,-18.604481945669516,16.956579114715073,-19.9660426033779,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.757660912464218,-28.659017632039365,100,0.8912,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458430731409,-18.665420452295024,17.206045125681328,-18.619935835600693,17.228486315881455,-19.603905229285846,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.760961112153414,-28.658721375239754,200,2.207,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69105383949231,-18.686142204913942,17.186210004368835,-18.600574177572984,16.72966282453308,-20.027678066783174,0,2,0,2,1.55042,1.55042,1.55042,19.226185392589116,-18.8198759778654,10,0.1347,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.691043348201394,-18.686140181890565,17.209695903788347,-18.63094829590668,16.881115020300754,-19.764776802983143,0,2,0,2,1.55042,1.55042,1.55042,19.331710180652763,-18.730018019364778,25,0.1554,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458090264007,-18.665416945938077,17.186257920891034,-18.60057490843401,16.94628313055814,-20.438406493551092,0,2,0,2,1.55042,1.55042,1.55042,19.22625581498946,-18.81990290287865,50,0.1658,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69457996826024,-18.665419979342285,17.207504229849217,-18.629555958273183,16.928062619080134,-20.017386253344174,0,2,0,2,1.55042,1.55042,1.55042,19.226318479743632,-18.819882733507313,100,0.3938,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694588712927064,-18.66542415807184,17.207498658938395,-18.62956084182488,16.86393748518183,-20.327024308856767,0,2,0,2,1.55042,1.55042,1.55042,19.22627204663151,-18.819883514469954,200,0.8187,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458119993183,-18.665421011680714,17.20604035422331,-18.61993611646035,16.768604528388156,-19.758499277630115,2,2,3,1,3.6092000000000026,2.977200000000002,3.6092000000000026,17.15038608617858,-19.126665729466414,10,3.243,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458485958426,-18.665419396470945,17.196680588182506,-18.595057305180386,17.228475671950687,-19.603884105764475,2,2,3,1,3.6092000000000026,2.977200000000002,3.6092000000000026,17.10785360317414,-19.162471437121702,25,5.341,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694584264941692,-18.66542344337027,17.18624571282286,-18.600565417990353,16.71575482343281,-20.21675964710266,2,2,3,1,3.6092000000000026,2.977200000000002,3.6092000000000026,17.107813729739206,-19.162456770127623,50,6.676,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
