POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
C-mA,Fluconazole,6.5,8.33333,0.0,interpolated
C-mA,Fluconazole,6.5,16.66667,0.0,interpolated
C-mA,Fluconazole,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Lomefloxacin,6.5,0.0,0.0,interpolated
C-mA,Lomefloxacin,6.5,8.33333,7.89,interpolated
C-mA,Lomefloxacin,6.5,16.66667,15.78,interpolated
C-mA,Lomefloxacin,6.5,25.0,23.67,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Methylene Violet,6.5,0.0,0.0,interpolated
C-mA,Methylene Violet,6.5,8.33333,8.14667,interpolated
C-mA,Methylene Violet,6.5,16.66667,16.29333,interpolated
C-mA,Methylene Violet,6.5,25.0,24.44,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Moxidectin,6.5,0.0,0.0,interpolated
C-mA,Moxidectin,6.5,8.33333,7.56333,interpolated
C-mA,Moxidectin,6.5,16.66667,15.12667,interpolated
C-mA,Moxidectin,6.5,25.0,22.69,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Piroxicam,6.5,0.0,0.0,interpolated
C-mA,Piroxicam,6.5,8.33333,0.0,interpolated
C-mA,Piroxicam,6.5,16.66667,0.0,interpolated
C-mA,Piroxicam,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Thymol Blue,6.5,0.0,0.0,interpolated
C-mA,Thymol Blue,6.5,8.33333,0.0,interpolated
C-mA,Thymol Blue,6.5,16.66667,0.0,interpolated
C-mA,Thymol Blue,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,2.4D,6.5,0.0,0.0,interpolated
C-megl,2.4D,6.5,8.33333,8.12667,interpolated
C-megl,2.4D,6.5,16.66667,16.25333,interpolated
C-megl,2.4D,6.5,25.0,24.38,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,2.4D,6.5,25.0,22.19,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,2.4D,6.5,33.33333,29.84,interpolated
C-megl,2.4D,6.5,41.66667,37.49,interpolated
C-megl,2.4D,6.5,50.0,45.14,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,2.4D,6.5,66.66667,60.51667,interpolated
C-megl,2.4D,6.5,83.33333,75.89333,interpolated
C-megl,2.4D,6.5,100.0,91.27,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Ampicillin,6.5,0.0,0.0,interpolated
C-megl,Ampicillin,6.5,8.33333,0.0,interpolated
C-megl,Ampicillin,6.5,16.66667,0.0,interpolated
C-megl,Ampicillin,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Doxycycline,6.5,0.0,0.0,interpolated
C-megl,Doxycycline,6.5,8.33333,0.0,interpolated
C-megl,Doxycycline,6.5,16.66667,0.0,interpolated
C-megl,Doxycycline,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Fluconazole,6.5,0.0,0.0,interpolated
C-megl,Fluconazole,6.5,8.33333,0.0,interpolated
C-megl,Fluconazole,6.5,16.66667,0.0,interpolated
C-megl,Fluconazole,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Lomefloxacin,6.5,0.0,0.0,interpolated
C-megl,Lomefloxacin,6.5,8.33333,0.0,interpolated
C-megl,Lomefloxacin,6.5,16.66667,0.0,interpolated
C-megl,Lomefloxacin,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Methylene Violet,6.5,0.0,0.0,interpolated
C-megl,Methylene Violet,6.5,8.33333,0.0,interpolated
C-megl,Methylene Violet,6.5,16.66667,0.0,interpolated
C-megl,Methylene Violet,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Moxidectin,6.5,0.0,0.0,interpolated
C-megl,Moxidectin,6.5,8.33333,5.04333,interpolated
C-megl,Moxidectin,6.5,16.66667,10.08667,interpolated
C-megl,Moxidectin,6.5,25.0,15.13,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Moxidectin,6.5,25.0,15.21,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Moxidectin,6.5,33.33333,20.28,interpolated
C-megl,Moxidectin,6.5,41.66667,25.35,interpolated
C-megl,Moxidectin,6.5,50.0,30.42,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Moxidectin,6.5,66.66667,40.62667,interpolated
C-megl,Moxidectin,6.5,83.33333,50.83333,interpolated
C-megl,Moxidectin,6.5,100.0,61.04,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Piroxicam,6.5,0.0,0.0,interpolated
C-megl,Piroxicam,6.5,8.33333,7.62333,interpolated
C-megl,Piroxicam,6.5,16.66667,15.24667,interpolated
C-megl,Piroxicam,6.5,25.0,22.87,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Piroxicam,6.5,25.0,23.72,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Piroxicam,6.5,33.33333,31.54333,interpolated
C-megl,Piroxicam,6.5,41.66667,39.36667,interpolated
C-megl,Piroxicam,6.5,50.0,47.19,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Piroxicam,6.5,66.66667,62.67333,interpolated
C-megl,Piroxicam,6.5,83.33333,78.15667,interpolated
C-megl,Piroxicam,6.5,100.0,93.64,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Thymol Blue,6.5,0.0,0.0,interpolated
C-megl,Thymol Blue,6.5,8.33333,8.05667,interpolated
C-megl,Thymol Blue,6.5,16.66667,16.11333,interpolated
C-megl,Thymol Blue,6.5,25.0,24.17,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Thymol Blue,6.5,25.0,24.38,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Thymol Blue,6.5,33.33333,31.92333,interpolated
C-megl,Thymol Blue,6.5,41.66667,39.46667,interpolated
C-megl,Thymol Blue,6.5,50.0,47.01,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-megl,Thymol Blue,6.5,66.66667,62.68333,interpolated
C-megl,Thymol Blue,6.5,83.33333,78.35667,interpolated
C-megl,Thymol Blue,6.5,100.0,94.03,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,2.4D,6.5,0.0,0.0,interpolated
C-ph,2.4D,6.5,8.33333,1.15333,interpolated
C-ph,2.4D,6.5,16.66667,2.30667,interpolated
C-ph,2.4D,6.5,25.0,3.46,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Ampicillin,6.5,0.0,0.0,interpolated
C-ph,Ampicillin,6.5,8.33333,1.4,interpolated
C-ph,Ampicillin,6.5,16.66667,2.8,interpolated
C-ph,Ampicillin,6.5,25.0,4.2,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Doxycycline,6.5,0.0,0.0,interpolated
C-ph,Doxycycline,6.5,8.33333,4.42,interpolated
C-ph,Doxycycline,6.5,16.66667,8.84,interpolated
C-ph,Doxycycline,6.5,25.0,13.26,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Fluconazole,6.5,0.0,0.0,interpolated
C-ph,Fluconazole,6.5,8.33333,0.0,interpolated
C-ph,Fluconazole,6.5,16.66667,0.0,interpolated
C-ph,Fluconazole,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Lomefloxacin,6.5,0.0,0.0,interpolated
C-ph,Lomefloxacin,6.5,8.33333,0.0,interpolated
C-ph,Lomefloxacin,6.5,16.66667,0.0,interpolated
C-ph,Lomefloxacin,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Methylene Violet,6.5,0.0,0.0,interpolated
C-ph,Methylene Violet,6.5,8.33333,8.15333,interpolated
C-ph,Methylene Violet,6.5,16.66667,16.30667,interpolated
C-ph,Methylene Violet,6.5,25.0,24.46,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Moxidectin,6.5,0.0,0.0,interpolated
C-ph,Moxidectin,6.5,8.33333,1.86667,interpolated
C-ph,Moxidectin,6.5,16.66667,3.73333,interpolated
C-ph,Moxidectin,6.5,25.0,5.6,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Piroxicam,6.5,0.0,0.0,interpolated
C-ph,Piroxicam,6.5,8.33333,0.0,interpolated
C-ph,Piroxicam,6.5,16.66667,0.0,interpolated
C-ph,Piroxicam,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-ph,Thymol Blue,6.5,0.0,0.0,interpolated
C-ph,Thymol Blue,6.5,8.33333,4.91,interpolated
C-ph,Thymol Blue,6.5,16.66667,9.82,interpolated
C-ph,Thymol Blue,6.5,25.0,14.73,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
CP-APM,Cd(II),5.0,0.0,0.0,interpolated
CP-APM,Cd(II),5.0,33.33333,14.5,interpolated
CP-APM,Cd(II),5.0,66.66667,29.0,interpolated
CP-APM,Cd(II),5.0,100.0,43.5,https://www.sciencedirect.com/science/article/pii/S0141813022004779
CP-APM,Pb(II),5.0,0.0,0.0,interpolated
CP-APM,Pb(II),5.0,33.33333,21.9,interpolated
CP-APM,Pb(II),5.0,66.66667,43.8,interpolated
CP-APM,Pb(II),5.0,100.0,65.7,https://www.sciencedirect.com/science/article/pii/S0141813022004779
Chitosan-carbon nanotubes,Amoxicillin,7.0,0.0,0.0,interpolated
Chitosan-carbon nanotubes,Amoxicillin,7.0,13.33333,7.7,interpolated
