poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_DRUG_logd_at_WATER_PH,drug_max_DRUG_logd_at_WATER_PH,drug_homo_eV,drug_lumo_eV,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.319914086306548,-6.271287655978205,-10.312619586472957,-6.2775802649352155,-10.349485668229198,-6.324511826186447,2.0,4.0,0.0,1.0,2.0023999999999997,0.5853000000000006,2.786500000000001,-6.860310337198524,-6.377884444631099,8.2,25.0,0.1347,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.447419361733905,-6.3254074328759575,-10.43466696542904,-6.342939988827627,-10.150725113443865,-6.147549405634797,2.0,4.0,0.0,1.0,2.0023999999999997,0.5853000000000006,2.786500000000001,-6.8764187744289575,-6.384372361680451,8.2,50.0,0.2902,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.491147923997405,-6.386548339889543,-10.319690380434773,-6.198569800884243,-10.056514994021935,-6.63099722413369,2.0,4.0,0.0,1.0,2.0023999999999997,0.5853000000000006,2.786500000000001,-6.864612130993369,-6.378386093089942,8.2,100.0,0.8912,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.602191379704403,-6.483157720743338,-10.230234575264088,-6.206956611199384,-10.341331539394341,-6.260223740842184,2.0,4.0,0.0,1.0,2.0023999999999997,0.5853000000000006,2.786500000000001,-6.865527576871396,-6.378545142115601,8.2,200.0,2.207,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.582894181513991,-6.455976735812194,-10.342535532344433,-6.282538514144533,-10.369507445246468,-6.5137563150690285,0.0,2.0,0.0,2.0,1.55042,1.55042,1.55042,-6.533658509398287,-6.108745041623299,8.2,10.0,0.1347,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.439540407020711,-6.319443412078837,-10.357105821343112,-6.245471002271145,-10.431222943919138,-6.5655931304323145,0.0,2.0,0.0,2.0,1.55042,1.55042,1.55042,-6.444951647881697,-6.062898041081122,8.2,25.0,0.1554,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.420949246269146,-6.241693601636451,-10.480401851309727,-6.4688365202496305,-10.084865366738155,-6.416348813292406,0.0,2.0,0.0,2.0,1.55042,1.55042,1.55042,-6.533716808688327,-6.108758750112139,8.2,50.0,0.1658,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.439359690915397,-6.25487967269455,-10.237632186748904,-6.263684832137634,-10.13424510160161,-6.8945413042637425,0.0,2.0,0.0,2.0,1.55042,1.55042,1.55042,-6.533684723505832,-6.108761992058946,8.2,100.0,0.3938,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.586641639821478,-6.4219360974963795,-10.361963422201711,-6.218091509130374,-10.18231664065058,-6.337391078215458,0.0,2.0,0.0,2.0,1.55042,1.55042,1.55042,-6.533755619403328,-6.108778541384241,8.2,200.0,0.8187,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.299420619393738,-6.21966449587633,-10.319584854054009,-6.198627734558455,-10.479880708250029,-6.436986818309353,2.0,2.0,3.0,1.0,3.6092000000000026,2.977200000000002,3.6092000000000026,-10.018040757789867,-5.969006932189185,8.2,10.0,3.243,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.294346120076622,-6.215906319964299,-10.117368910582986,-6.124509926905377,-10.639340188422091,-6.606558792641344,2.0,2.0,3.0,1.0,3.6092000000000026,2.977200000000002,3.6092000000000026,-10.062038133840268,-6.01183412759398,8.2,25.0,5.341,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.319922314782614,-6.271288349566371,-10.29788114628396,-6.223808477699689,-10.40460075318318,-6.429839043077629,2.0,2.0,3.0,1.0,3.6092000000000026,2.977200000000002,3.6092000000000026,-10.067757871698628,-6.003768695398526,8.2,50.0,6.676,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.349192660233328,-6.2990083463218145,-10.43019711672262,-6.310775295313967,-10.448908861068116,-6.449640260218305,2.0,2.0,3.0,1.0,3.6092000000000026,2.977200000000002,3.6092000000000026,-10.018040838770508,-5.969006079396777,8.2,100.0,29.56,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.550427860882431,-6.368867039520817,-10.225242251871286,-6.13210968472963,-10.354749576080435,-6.435342351621187,2.0,2.0,3.0,1.0,3.6092000000000026,2.977200000000002,3.6092000000000026,-10.023981627142193,-5.961188626380218,8.2,200.0,56.46,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.51916176899303,-6.275943519421149,-10.369434572325964,-6.251607372519293,-10.181128701163152,-6.255879204143938,1.0,3.0,0.0,3.0,3.9273200000000026,2.59262,2.59262,-7.768115246062645,-6.990882473223676,8.2,10.0,1.144,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.586634908569152,-6.421930222477137,-10.430600682562226,-6.235650758657876,-10.5824037309525,-6.628629049083675,1.0,3.0,0.0,3.0,3.9273200000000026,2.59262,2.59262,-7.7925044289101555,-6.958976446609344,8.2,25.0,1.907,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.526951314290129,-6.513972770111233,-10.450239220565951,-6.295402402944676,-10.525764541254105,-6.504630521476224,1.0,3.0,0.0,3.0,3.9273200000000026,2.59262,2.59262,-7.794894455571496,-6.911405491386382,8.2,50.0,4.768,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.314968624451796,-6.239533548994827,-10.340000734294144,-6.282220809935188,-10.397397857779325,-6.503184968022338,1.0,3.0,0.0,3.0,3.9273200000000026,2.59262,2.59262,-7.79250748511836,-6.958976889122098,8.2,100.0,7.439,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.439541877400746,-6.319383670764204,-10.352830567798561,-6.227302376702642,-10.471336343751421,-6.852514517084833,1.0,3.0,0.0,3.0,3.9273200000000026,2.59262,2.59262,-7.7948626420846185,-6.911400013157635,8.2,200.0,19.84,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-10.06380898810893,-6.127654425720962,-9.602810571752174,-5.9377783200011285,-9.306446402710257,-6.284973719136177,2.0,5.0,1.0,2.0,1.5809999999999997,0.1639000000000001,1.5809999999999997,-8.214484688352801,-7.308187272962189,6.5,25.0,22.87,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.725740069619174,-6.098609576600111,-9.352168385724934,-5.829069011818214,-9.75955758012839,-6.556551324981212,3.0,5.0,2.0,1.0,0.3181000000000002,-3.1504999999999965,-1.016599999999999,-10.194933288353504,-7.492406454242779,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.703214777042696,-6.008603595942698,-9.33226784317812,-5.911940841766399,-10.037896171643457,-6.437342024834828,6.0,9.0,3.0,1.0,-0.5041999999999991,-4.948699999999995,-2.899599999999996,-8.277766753508036,-7.021497464278067,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.500699201020238,-6.044070437025079,-9.32844824133192,-5.848944197470984,-10.024979585839922,-6.590180055508075,2.0,4.0,1.0,2.0,1.7959,-0.5649999999999988,0.46119999999999967,-7.7439803892294155,-7.42854999746753,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
