POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,charge_at_WATER_PH_H,charge_at_WATER_PH_C,charge_at_WATER_PH_O,charge_at_WATER_PH
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.006,0.0195,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00648,0.02151,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,7.0,0.006967,0.0235116667,https://link.springer.com/article/10.1007/s11270-023-06281-0,1,1,0,0.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00946,0.04207,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.01196,0.06062,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,7.0,0.01446,0.07918,https://link.springer.com/article/10.1007/s11270-023-06281-0,1,1,0,0.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.01786,0.16521,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.02125,0.25125,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,7.0,0.02465,0.3372833333,https://link.springer.com/article/10.1007/s11270-023-06281-0,1,1,0,0.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.02593,0.43746,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.02722,0.53763,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,7.0,0.0285,0.6378,https://link.springer.com/article/10.1007/s11270-023-06281-0,1,1,0,0.0
*NCCCCNC(=O)CCCC(=O)*,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,8.2,0.0002051,0.0004171633,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,2.0
*NCCCCNC(=O)CCCC(=O)*,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,8.2,0.00022,0.00052,interpolated,0,-1,0,2.0
*NCCCCNC(=O)CCCC(=O)*,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,8.2,0.00024,0.00061,interpolated,0,-1,0,2.0
*NCCCCNC(=O)CCCC(=O)*,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,8.2,0.000264,0.0007131,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,2.0
*NCCCCNC(=O)CCCC(=O)*,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,8.2,0.00028,0.00079,interpolated,0,-1,0,2.0
